Driver Substance Abuse,Person ID,Injury Severity
NONE DETECTED,1BBFEFB6-C776-4C52-9E3A-917ACA7A6F0B,POSSIBLE INJURY
NONE DETECTED,5FF2F6EB-192B-49DA-BBA9-CBD1F9B2FFA7,POSSIBLE INJURY
UNKNOWN,42FB5308-2415-45F9-9B1B-B2D47D73A356,SUSPECTED MINOR INJURY
NONE DETECTED,3E94822F-BB61-49A9-86E4-3F5100A6C837,NO APPARENT INJURY
NONE DETECTED,78A8AE73-456C-48A7-9C8E-B4AD44390A84,NO APPARENT INJURY
NONE DETECTED,9F5FDDA6-8F8B-43B1-B938-F371EEB3A713,NO APPARENT INJURY
NONE DETECTED,79B1854B-FD23-40F9-9B81-F9BF077C7446,NO APPARENT INJURY
NONE DETECTED,E4D159C6-B6C3-4838-896F-2571201D4FEB,NO APPARENT INJURY
NONE DETECTED,2A5AE202-7F02-4A71-9CA6-FA0899B927F0,NO APPARENT INJURY
NONE DETECTED,512A8495-B49A-4743-8518-8E035589D772,NO APPARENT INJURY
NONE DETECTED,B82F5EC9-475D-4BA4-8D49-BFC7578F8C08,POSSIBLE INJURY
NONE DETECTED,07E731DB-F722-4B33-BE60-A2BA76EE6210,NO APPARENT INJURY
NONE DETECTED,27F35A87-BED2-47AB-828A-D1EB8D028E3B,SUSPECTED MINOR INJURY
NONE DETECTED,234257CD-CC48-493F-9C0F-507DB38024DD,NO APPARENT INJURY
NONE DETECTED,A32798B7-03F2-4179-806F-1213C6D05FAC,NO APPARENT INJURY
NONE DETECTED,CF0E4AAC-3470-4FFD-87E1-78B98C7571A8,POSSIBLE INJURY
NONE DETECTED,63CD02A6-455F-4B03-AAE1-7B87C59D2525,NO APPARENT INJURY
NONE DETECTED,A8902A10-91B0-49A3-953E-3019AE579AC6,NO APPARENT INJURY
NONE DETECTED,90259989-ADBE-4F53-8B7B-CBD7D20973BE,SUSPECTED SERIOUS INJURY
NONE DETECTED,7EC4716D-B1D9-48B4-8FA9-E4D34ADA3FB4,NO APPARENT INJURY
NONE DETECTED,C20B983A-738F-4F97-AAB7-E9EAF904532E,NO APPARENT INJURY
NONE DETECTED,B168E7A3-C4E7-47F9-9133-2959A0A16B74,NO APPARENT INJURY
NONE DETECTED,4B4F204B-AD89-46C2-90B6-37ABB2D7462F,NO APPARENT INJURY
NONE DETECTED,76BEBB36-72AE-4809-80DF-A3C0E8AEF09F,NO APPARENT INJURY
NONE DETECTED,425DA875-C427-4F1F-8960-6BA1B8A0DB89,NO APPARENT INJURY
NONE DETECTED,A40BF5F9-8BB8-4EB8-8330-48944E732324,NO APPARENT INJURY
UNKNOWN,72D133D0-6F71-40A3-B195-89D3C0749489,NO APPARENT INJURY
NONE DETECTED,5BA46B30-8A31-4FF4-8CA4-DE0328F74FDF,NO APPARENT INJURY
NONE DETECTED,3275C1D4-48CC-45A3-AAC1-624BD0F110AB,NO APPARENT INJURY
NONE DETECTED,980C4CDF-9A91-435E-B480-3DB387628E99,NO APPARENT INJURY
NONE DETECTED,360C5278-CAEA-49C0-9628-6C64C445546C,NO APPARENT INJURY
NONE DETECTED,827C7C0B-39A2-4AEA-A64E-DD7FE4CA3D8A,NO APPARENT INJURY
NONE DETECTED,A598C543-B30C-4976-BAD9-4C77816328FF,POSSIBLE INJURY
NONE DETECTED,4D7E43DE-8EB0-4CBE-8FB9-3DB1A920F67F,NO APPARENT INJURY
NONE DETECTED,0CBBD5B1-7C5B-4A8E-B024-FC45EA88C47E,NO APPARENT INJURY
NONE DETECTED,8F898CBD-2004-4F0D-AF1B-41736B638C47,NO APPARENT INJURY
NONE DETECTED,0B3740EC-EB7D-4338-A81C-1F91C849EE52,NO APPARENT INJURY
NONE DETECTED,0EE00227-5DD0-4D6C-8985-134FF7A702AD,NO APPARENT INJURY
NONE DETECTED,F99238FC-4EE2-4014-BE95-1063329C7493,NO APPARENT INJURY
UNKNOWN,4DB1D71C-E5DD-4A35-B6C5-41AA55D6745B,NO APPARENT INJURY
N/A,39065619-B95B-4BF8-8DA2-1161A9587467,NO APPARENT INJURY
UNKNOWN,C115C5B1-09C6-408D-9010-2E312BB2ECCA,SUSPECTED SERIOUS INJURY
N/A,6CBF334F-1FFC-4E07-B7A0-B5085A641DAE,NO APPARENT INJURY
UNKNOWN,055CF813-BA2C-41E7-A1DE-B51E2F49ABEB,NO APPARENT INJURY
NONE DETECTED,4272B2B7-5F4A-413A-B831-521DCED2E280,SUSPECTED SERIOUS INJURY
NONE DETECTED,4500F9F1-571C-4EB2-855E-CEE252081F21,NO APPARENT INJURY
NONE DETECTED,3410EAB8-9740-44E2-8791-8C248CA70223,NO APPARENT INJURY
N/A,53B0CCC8-DD35-4A23-8D02-6D80BBC5DB12,NO APPARENT INJURY
N/A,D54068D1-EB03-4486-BCB9-B365E900DC7C,POSSIBLE INJURY
NONE DETECTED,31A2F3E2-B0F1-414F-847F-0ECE9DA4D980,NO APPARENT INJURY
UNKNOWN,D81E16AA-B58C-46B6-A9EB-9E8FDB34BE52,NO APPARENT INJURY
N/A,51430679-75D2-4FC8-916A-75CF6A94DA2F,NO APPARENT INJURY
N/A,ADF311A5-59E9-4DEF-B739-94CF4185481F,SUSPECTED MINOR INJURY
N/A,D3E69BD1-690B-4897-AF12-4B7C4D67BD74,NO APPARENT INJURY
NONE DETECTED,F5C10581-7525-4385-95D2-0C259FB67513,NO APPARENT INJURY
UNKNOWN,79CB481A-13A0-47B4-B1F6-47BD390E0C75,NO APPARENT INJURY
NONE DETECTED,CD12B2DE-527D-4687-844F-8CFF8C3A6372,NO APPARENT INJURY
NONE DETECTED,99665367-22B2-4ADF-8ABA-24E19239C225,NO APPARENT INJURY
UNKNOWN,1CC136E6-CB13-41F3-A1EF-B5F8211920E6,NO APPARENT INJURY
NONE DETECTED,A7CE71DE-2F7F-4F5E-A0B5-695FB096C9E6,NO APPARENT INJURY
NONE DETECTED,5B254701-6F8C-44F3-99F2-C6B4CC64AC2D,SUSPECTED MINOR INJURY
NONE DETECTED,86CCEC46-EE60-4FE4-94EA-19A35BD9588C,SUSPECTED MINOR INJURY
N/A,190784DA-F0C2-4E0B-B8F9-31DA0225FE02,POSSIBLE INJURY
N/A,DCAE0AFE-8D7C-4AA9-AD56-E20DABA95A71,POSSIBLE INJURY
NONE DETECTED,BAB3B92C-D98D-4C7D-A24E-C7FCA9ACCBF5,NO APPARENT INJURY
NONE DETECTED,FDB31E37-6E86-434A-929C-017041B3A689,NO APPARENT INJURY
UNKNOWN,B41D06A5-C82F-4315-B626-2D5F464DAADD,NO APPARENT INJURY
UNKNOWN,1C59658B-21BA-4291-AAE0-EFECE413BCC0,NO APPARENT INJURY
NONE DETECTED,BB793DF8-24A5-4F86-81D6-4F05CCA9EF2B,NO APPARENT INJURY
UNKNOWN,BBB66264-80B9-42BD-9EAC-DB1781D7F692,NO APPARENT INJURY
NONE DETECTED,B691E0A4-B1F6-404B-814A-1ACDB5CA4199,NO APPARENT INJURY
NONE DETECTED,E1B178B9-91A5-462F-A796-A68A30201B9F,NO APPARENT INJURY
NONE DETECTED,A7C62AC8-D41A-473A-A09B-825E108C55E6,NO APPARENT INJURY
UNKNOWN,EF691AE6-4D59-44CB-87CC-0F090B2EE709,NO APPARENT INJURY
NONE DETECTED,6995F081-4B64-4C9F-93A2-DA3C2746D879,NO APPARENT INJURY
NONE DETECTED,3351B4F8-18CF-454D-91D2-B5B59A6DE5D9,NO APPARENT INJURY
NONE DETECTED,C49ABB04-F140-4738-841C-8FC180AC3111,NO APPARENT INJURY
NONE DETECTED,FA32ECC9-7A5C-4CC4-B6E9-0BDA3E203162,NO APPARENT INJURY
NONE DETECTED,32D7A1BD-A7CD-4801-8B25-80AAA6A8ECB8,NO APPARENT INJURY
NONE DETECTED,F4E304D8-E121-420B-8994-61FE7010A1D1,NO APPARENT INJURY
NONE DETECTED,095CAB03-85B1-4932-A3BE-142B11D20487,NO APPARENT INJURY
NONE DETECTED,27340890-903F-4395-8AA3-B79DF488FF1B,NO APPARENT INJURY
N/A,7246127C-7CEE-4A48-889D-E34AF75AF00E,NO APPARENT INJURY
UNKNOWN,B1F164CB-BD83-4FFE-9997-B0B790C8CC5D,NO APPARENT INJURY
NONE DETECTED,B5BF0F14-F8DF-4FD1-94DE-EE70F9517C13,NO APPARENT INJURY
NONE DETECTED,456AA9A3-72BD-468B-9870-B7B61D4599EE,NO APPARENT INJURY
NONE DETECTED,D4047652-3553-42B7-8BEC-AB63D858F7E6,NO APPARENT INJURY
NONE DETECTED,0F190E5F-6F9E-43A4-AAE9-D1CFE494DDA3,NO APPARENT INJURY
NONE DETECTED,0687DC9B-3547-459E-A762-1AFB907ED88A,NO APPARENT INJURY
NONE DETECTED,C1B93577-6664-4E51-9F1A-35F9147EC77F,NO APPARENT INJURY
NONE DETECTED,29CCE4D2-D970-496E-A123-319C937C34CE,POSSIBLE INJURY
UNKNOWN,CD480302-2FFF-4209-81FE-F51BF45FD30B,NO APPARENT INJURY
NONE DETECTED,81F7A002-1180-4FD4-B264-57646C4E5DFF,NO APPARENT INJURY
NONE DETECTED,FF4C4D6B-69B9-4A91-900F-5627C683593F,NO APPARENT INJURY
N/A,B91670DB-FF93-41A2-8D89-A55D3C06DFB7,POSSIBLE INJURY
NONE DETECTED,58EF2014-8EBB-468D-B839-10D386FA3598,POSSIBLE INJURY
UNKNOWN,2280DB12-CB20-4C9C-B7C8-9B9DA570AD21,NO APPARENT INJURY
NONE DETECTED,EEA933CD-91CD-49FB-A07D-1648651633CA,POSSIBLE INJURY
NONE DETECTED,EBBA51F6-9311-4C5F-91F0-9AE45D887A65,POSSIBLE INJURY
NONE DETECTED,E79C8F61-0B12-428A-98EB-1ED75A3B8DFB,NO APPARENT INJURY
ALCOHOL PRESENT,CB728EDB-A399-4DBF-939C-734EA9C92D28,NO APPARENT INJURY
NONE DETECTED,8CC29096-608A-47AE-906F-6410901BD73F,NO APPARENT INJURY
NONE DETECTED,478B3AF6-89A7-42B7-8D09-75557826B315,NO APPARENT INJURY
NONE DETECTED,FBE8DD13-CA2F-494D-BB6A-A4EBD93E3633,NO APPARENT INJURY
UNKNOWN,C0E47206-98CE-484A-852D-E1B7854EB186,NO APPARENT INJURY
N/A,D03E6A11-66DA-4EBD-9B67-E77802C5A6E8,NO APPARENT INJURY
N/A,4FFF375E-E7DB-492A-A826-7F450D6851B1,NO APPARENT INJURY
NONE DETECTED,0A7A26DD-9D09-46CE-93DE-38E7EABBB6C6,NO APPARENT INJURY
NONE DETECTED,7D5B4DD2-2B31-4F73-8023-6D7503671C44,SUSPECTED MINOR INJURY
NONE DETECTED,15C1E4BA-50F2-4DB2-AEE9-2108119B3443,NO APPARENT INJURY
NONE DETECTED,64453894-6B26-4F3C-8323-215C3BF43772,NO APPARENT INJURY
NONE DETECTED,2628F397-76D7-49BF-9850-CFF0EAE6AEF0,NO APPARENT INJURY
UNKNOWN,166369E9-A6EE-4DFD-8DA3-90B6C5861F8A,NO APPARENT INJURY
NONE DETECTED,65F97B55-B593-44DE-A8B3-3F5FDAB2984E,NO APPARENT INJURY
NONE DETECTED,E8B0DFB8-695D-4D5E-8CFE-A3CB713AB3B0,NO APPARENT INJURY
NONE DETECTED,DCA49BCF-8100-4293-805C-BDDFB792E645,SUSPECTED MINOR INJURY
UNKNOWN,FA5E24A4-73D9-4ABA-B813-2F2623296511,NO APPARENT INJURY
NONE DETECTED,6A9CDE65-97DA-41F4-BCCE-F156454594D6,SUSPECTED MINOR INJURY
NONE DETECTED,A894F676-BDBB-46B5-88D8-399169158F4E,NO APPARENT INJURY
NONE DETECTED,D56040D2-A90A-4C1B-83A4-CFBB7D843357,NO APPARENT INJURY
UNKNOWN,C7623528-79BC-462F-852D-588707A8F3D3,NO APPARENT INJURY
N/A,A347976F-F000-4BC7-B988-0F418401A743,NO APPARENT INJURY
N/A,0C5CD650-32C2-418D-911E-27F366583E36,NO APPARENT INJURY
N/A,7DDA3049-BDCF-4B7A-9B02-4FD4B6B895AC,NO APPARENT INJURY
NONE DETECTED,BA8739D3-7F26-46B4-9231-991E00DA0DDB,POSSIBLE INJURY
NONE DETECTED,FB339A06-DD87-4A0D-AC95-468E89A30049,NO APPARENT INJURY
NONE DETECTED,EB3A5346-0487-4F63-BB92-CA152F942C3B,NO APPARENT INJURY
N/A,E4B41064-46A1-4B72-985F-A0F920C70DFC,NO APPARENT INJURY
UNKNOWN,001E5778-77F7-423C-95D5-8E27CE24E544,NO APPARENT INJURY
N/A,5650A496-6874-42D8-B02D-5D17ACD7D333,NO APPARENT INJURY
N/A,CD134B66-E9B6-4695-B8DF-B929A208C2AD,NO APPARENT INJURY
NONE DETECTED,DEB12211-63AD-4752-9193-2FBEA7EBCA0B,NO APPARENT INJURY
UNKNOWN,00C1E020-1E95-48C5-9A96-132752A969F5,NO APPARENT INJURY
NONE DETECTED,112E7B64-4DC2-498D-A8C0-4E9402F832C1,NO APPARENT INJURY
NONE DETECTED,CDB4F57D-1F27-4E7A-81EA-A7F1FEB2404F,NO APPARENT INJURY
NONE DETECTED,4DFA906A-5F81-4F2D-B942-E886670FE7F9,NO APPARENT INJURY
NONE DETECTED,260892F5-9BCC-460B-91A6-501532F99696,NO APPARENT INJURY
NONE DETECTED,A947258E-38BA-4179-A648-119D135EAE10,NO APPARENT INJURY
NONE DETECTED,40978A98-1D83-408D-A395-75F40EA55F05,NO APPARENT INJURY
NONE DETECTED,98E772D9-B3A9-4B96-968D-9011495B77AF,NO APPARENT INJURY
NONE DETECTED,E5F966A8-ED24-4294-AA83-727DD6C2AB28,NO APPARENT INJURY
UNKNOWN,B6AF1CF3-D8A7-4980-9EC7-3649778AC318,NO APPARENT INJURY
NONE DETECTED,ED6B910B-6F50-4865-99B8-600D48EBACF5,NO APPARENT INJURY
UNKNOWN,2800073C-B5D1-4CF7-918C-6592D782E3D1,NO APPARENT INJURY
NONE DETECTED,E0347720-3DCA-4332-9CC0-932640158755,NO APPARENT INJURY
NONE DETECTED,70CB0B60-31CC-4294-BF47-4C4F353D84CF,NO APPARENT INJURY
UNKNOWN,E4C9A8B9-FBA2-4257-8401-F970B8A54748,NO APPARENT INJURY
NONE DETECTED,50A7FC32-3B01-4B6D-B3C0-EA20919C3A8B,POSSIBLE INJURY
NONE DETECTED,F4B091DC-031E-4DE5-9B79-D6B854C62541,POSSIBLE INJURY
NONE DETECTED,647D8C7B-CADC-4B61-9EA7-953E402E1B2C,NO APPARENT INJURY
NONE DETECTED,A9C900B8-5A9A-429F-9B60-AD6E38DE69E8,NO APPARENT INJURY
NONE DETECTED,C06D7B22-E982-40FB-9162-388D585EECE6,NO APPARENT INJURY
N/A,880A6353-3A2E-4879-830B-8BD1CF7F1EF4,POSSIBLE INJURY
N/A,9457E3EF-11EB-4904-96F9-90CAE93421CE,POSSIBLE INJURY
N/A,51689583-3E2A-4ADB-9942-0ABB50870C05,NO APPARENT INJURY
NONE DETECTED,FB203214-23E8-4664-B0FE-8C29CDC19A2B,NO APPARENT INJURY
NONE DETECTED,838D2882-36A4-4B69-B557-6FED067DFE46,NO APPARENT INJURY
NONE DETECTED,53656732-93DE-4420-871B-DE18D86B6320,NO APPARENT INJURY
NONE DETECTED,73D6640E-F094-46C4-800B-B55D649CC9DB,NO APPARENT INJURY
NONE DETECTED,747079CA-6FC9-46C4-9CBD-8BEDCB2E62E7,NO APPARENT INJURY
ALCOHOL CONTRIBUTED,A169A351-25A6-46F5-8593-C84FAEBDE2E4,SUSPECTED MINOR INJURY
UNKNOWN,1B4AFEE3-26F5-4E34-BA8F-FECEEB3C63BE,NO APPARENT INJURY
ALCOHOL PRESENT,9FC9B228-7352-4B75-B8ED-50A044EF5CBA,NO APPARENT INJURY
N/A,3C82FCCB-FAA2-4D03-B3E6-31FC6BEEC2C9,NO APPARENT INJURY
N/A,4E7383C6-A3EE-498A-A683-232FFB7B707F,NO APPARENT INJURY
N/A,8A6DFC9E-5D24-4FC3-B69E-B826FF156318,NO APPARENT INJURY
N/A,08A79FBD-D44D-4FCF-945F-3EBD273DFD28,POSSIBLE INJURY
N/A,E567C108-3820-4494-B5A5-FD22F7001946,NO APPARENT INJURY
NONE DETECTED,11A89458-26B3-4F1F-8F70-D31B26A29455,NO APPARENT INJURY
UNKNOWN,65142CE6-90D5-49D2-9BFF-8C6B73C83C67,NO APPARENT INJURY
NONE DETECTED,FA9F6EFA-F64C-4646-BD92-640DA1186E66,NO APPARENT INJURY
NONE DETECTED,C94EBA09-F922-4534-9BCA-ABCF446A564E,NO APPARENT INJURY
ALCOHOL PRESENT,03E0F4A2-26A5-4021-9A5F-80DC8E2D538B,NO APPARENT INJURY
NONE DETECTED,CEAC124D-2CE5-4AD8-A1B1-6204F5FF1011,NO APPARENT INJURY
NONE DETECTED,DC63B621-1EAA-4722-8DD2-93953C01BEDF,SUSPECTED MINOR INJURY
NONE DETECTED,DE81BAFD-0791-473E-8CFF-5B1D4810F30F,NO APPARENT INJURY
NONE DETECTED,CDD949CD-7EB2-4245-88BB-2383016C1142,POSSIBLE INJURY
N/A,18AEE408-888D-4F03-8B9E-A569F14A2B40,NO APPARENT INJURY
N/A,64F44FD4-5B04-4B27-9F52-BBAE2E4360DA,NO APPARENT INJURY
N/A,8795AE6D-CE7A-483F-AEAC-088AC8D98BD2,NO APPARENT INJURY
N/A,BA144FF0-1606-4B7A-8857-4EB4B9FAEEF9,NO APPARENT INJURY
NONE DETECTED,CF70D2A2-4C34-4E76-8B3A-15EEE9B2E170,NO APPARENT INJURY
NONE DETECTED,995F5B1C-43F4-46D8-BF0B-02549AB2C130,SUSPECTED MINOR INJURY
NONE DETECTED,4199839C-2BBB-47F6-A473-EABAADEC73A3,POSSIBLE INJURY
NONE DETECTED,2D832DB6-E288-48A5-A12C-BA2986127CA7,NO APPARENT INJURY
NONE DETECTED,65168664-8756-4350-9427-EB6049433095,SUSPECTED MINOR INJURY
NONE DETECTED,DC6382C3-8D05-4E06-8E51-8AEFF18A8633,POSSIBLE INJURY
NONE DETECTED,F3BE5766-9B3F-448D-A440-25C8B6DFDBD1,POSSIBLE INJURY
NONE DETECTED,B8CDA16B-DE07-4AB4-A6F4-2A2846C9D049,NO APPARENT INJURY
NONE DETECTED,785AB25D-476D-48ED-93DA-AC6B6CF2F8FE,NO APPARENT INJURY
NONE DETECTED,404878BC-02D1-46F7-B4DF-E4E7B0C7AE73,NO APPARENT INJURY
NONE DETECTED,376BD2EE-B40E-4CB3-BAB0-FC72F6E5A500,NO APPARENT INJURY
NONE DETECTED,44FC8CF2-8879-4C02-8011-C71017739870,SUSPECTED MINOR INJURY
NONE DETECTED,8A307C40-C1D4-4FF2-9A39-AD65DC8D07E8,NO APPARENT INJURY
NONE DETECTED,3526AB5E-6014-44CD-97E3-80729AAC803B,NO APPARENT INJURY
NONE DETECTED,78E1FB0B-28FC-4329-AAB6-C7B58BBD4EE0,NO APPARENT INJURY
NONE DETECTED,BC2151EB-4180-4A19-B4E7-01802E50F45A,NO APPARENT INJURY
NONE DETECTED,DBDC0AC0-E16D-4BD0-BE1B-9B864DAA730E,NO APPARENT INJURY
NONE DETECTED,C41BB28F-6850-437C-9D55-E96AC21521FB,NO APPARENT INJURY
NONE DETECTED,9F7C043D-CD2F-413A-954F-7C487E1E29AB,NO APPARENT INJURY
NONE DETECTED,73449A3E-7B27-40CA-993E-CA04A2079220,NO APPARENT INJURY
UNKNOWN,175210EB-6C23-48A9-95D4-715EE3F76973,NO APPARENT INJURY
UNKNOWN,DBB7D2BE-4E12-4DDD-94F7-C9F921855EC2,NO APPARENT INJURY
NONE DETECTED,C09959B5-18CF-4D82-9FAD-ED3B73F6B0A5,NO APPARENT INJURY
NONE DETECTED,3D20BE88-EF6E-4B1F-99B3-1D5570F10967,NO APPARENT INJURY
NONE DETECTED,03D0FF85-5A0D-4F58-A101-9D8905D9AF1D,NO APPARENT INJURY
NONE DETECTED,6D18F762-C0B5-48C6-B604-533007EBB7BD,NO APPARENT INJURY
NONE DETECTED,F01EF6C9-BF27-4026-A1B8-FC6DA6EAFC4B,NO APPARENT INJURY
N/A,F5442F44-6FBA-43C3-BC94-D2992295D754,POSSIBLE INJURY
N/A,D291E80F-CF9E-4F0F-BAD4-759086F09968,NO APPARENT INJURY
NONE DETECTED,B7842238-2EEC-449D-8632-03BF8542580F,POSSIBLE INJURY
NONE DETECTED,7578F886-EE62-4FE0-AE7E-BEB13B7D8228,NO APPARENT INJURY
N/A,C2EC95D9-ACED-47A9-898A-65B3CB34273C,NO APPARENT INJURY
UNKNOWN,334FCF7F-68E4-4D1B-990B-99B1925C4EFD,NO APPARENT INJURY
N/A,1A80345F-B665-4742-8491-6DA635062A95,NO APPARENT INJURY
NONE DETECTED,174C675F-D4CC-4CC2-BEA7-319D2B4C3E9A,NO APPARENT INJURY
NONE DETECTED,E7A87A66-EDED-4AC2-8241-6345EEAD1F3E,NO APPARENT INJURY
NONE DETECTED,A5D75872-C5DB-405D-9A96-5C54AD22EA2D,POSSIBLE INJURY
NONE DETECTED,29FE3842-F1B1-450F-B6D7-C9C068AB45F5,NO APPARENT INJURY
NONE DETECTED,BC074647-7F16-4876-A62D-9D1CC62369F1,SUSPECTED MINOR INJURY
